CODE	ENGLISH	CHINESE	JAPAN	SPANISH	SWAHILI	DANISH
L_2	Hello	你好	こんにちは	Hola	Habari	Hej
L_3	BACKPACK	背包	バックパック	MOCHILA	MGONGO	RYGSÆK
L_4	MISSION	使命	ミッション	MISIÓN	UTUME	MISSION
L_5	WIN MORE	贏得更多	もっと勝ちましょう	GANAR MÁS	SHINDA ZAIDI	VIND MERE
L_6	Discover this must-play game!	探索這款必玩遊戲！	この必見のゲームを発見してください!	¡Descubre este juego imprescindible!	Gundua mchezo huu wa lazima-ucheze!	Oplev dette spil, du skal spille!
L_7	No games in your Favorites. Tap here to add now!	您的收藏夾中沒有遊戲。 點擊此處立即添加！	お気に入りにゲームがありません。 ここをタップして今すぐ追加してください!	No hay juegos en tus favoritos. ¡Toca aquí para agregar ahora!	Hakuna michezo katika Vipendwa vyako. Gonga hapa ili kuongeza sasa!	Ingen spil i dine favoritter. Tryk her for at tilføje nu!
L_8	Click GAME to play now!	點擊“遊戲”即可開始遊戲！	「ゲーム」をクリックして今すぐプレイしてください!	¡Haz clic en JUEGO para jugar ahora!	Bofya GAME ili kucheza sasa!	Klik på SPIL for at spille nu!
L_9	To receive the prize,place bets until the progress bar is full and unlock more rewards by upgrading your LV level.	要獲得獎品，請下注直至進度條滿，並透過升級 LV 等級來解鎖更多獎勵。	賞品を受け取るには、プログレスバーがいっぱいになるまでベットし、LV レベルをアップグレードしてさらに多くの報酬のロックを解除します。	Para recibir el premio, haga apuestas hasta que la barra de progreso esté llena y desbloquee más recompensas mejorando su nivel LV.	Ili kupokea zawadi, weka dau hadi upau wa maendeleo ujae na upate zawadi zaidi kwa kuboresha kiwango chako cha LV.	For at modtage præmien skal du placere væddemål, indtil statuslinjen er fuld, og låse op for flere belønninger ved at opgradere dit LV-niveau.
L_10	No Rich Card  in your backpack.	無富卡  在你的背包裡。	リッチカードなし  バックパックの中に。	Sin tarjeta rica  en tu mochila.	Hakuna Kadi Tajiri  katika mkoba wako.	Intet Rich Card  i din rygsæk.
L_11	Click Rich Card icon to use. It disappears when expired	點擊豐富的卡片圖示即可使用。過期就消失了	リッチカードアイコンをクリックして使用します。期限切れになると消える	Haga clic en el ícono Rich Card para usarlo. Desaparece cuando expira	Bofya ikoni ya Kadi Tajiri ili kutumia. Inatoweka wakati muda wake umekwisha	Klik på Rich Card-ikonet for at bruge. Det forsvinder, når det udløber
L_12	Message	訊息	メッセージ	Mensaje	Ujumbe	Besked
L_13	Other game	其他遊戲	その他のゲーム	otro juego	Mchezo mwingine	Andet spil
L_14	This game	這個遊戲	このゲーム	este juego	Mchezo huu	Dette spil
